Dimensionless time,Outlet dimensionless concentration 1,Outlet dimensionless concentration 2
213.3,0.139595616608191,0.85
213.32500000000002,0.13963272139341243,0.85
213.35000000000002,0.13966970714119456,0.85
213.375,0.13970657414875098,0.85
213.4,0.1397433227131155,0.85
213.425,0.13977995313113786,0.85
213.45000000000002,0.13981646569947984,0.85
213.47500000000002,0.13985286071461084,0.85
213.5,0.13988913847280404,0.85
213.525,0.1399252992701322,0.85
213.55,0.13996134340246366,0.85
213.57500000000002,0.13999727116545843,0.85
213.60000000000002,0.14003308285456412,0.85
213.625,0.1400687787650121,0.85
213.65,0.1401043591918135,0.85
213.675,0.14013982442975548,0.85
213.70000000000002,0.14017517477339728,0.85
213.72500000000002,0.14021041051706654,0.85
213.75,0.14024553195485537,0.85
213.775,0.14028053938061674,0.85
213.8,0.14031543308796077,0.85
213.82500000000002,0.14035021337025091,0.85
213.85000000000002,0.14038488052060052,0.85
213.875,0.14041943483186903,0.85
213.9,0.1404538765966585,0.85
213.925,0.14048820610731003,0.85
213.95000000000002,0.1405224236559002,0.85
213.97500000000002,0.14055652953423764,0.85
214.0,0.1405905240338595,0.85
214.025,0.14062440744602803,0.85
214.05,0.14065818006172723,0.85
214.07500000000002,0.1406918421716594,0.85
214.10000000000002,0.14072539406624188,0.85
214.125,0.14075883603560366,0.85
214.15,0.14079216836958214,0.85
214.175,0.14082539135771985,0.85
214.20000000000002,0.14085850528926125,0.85
214.22500000000002,0.1408915104531495,0.85
214.25,0.1409244071380233,0.85
214.275,0.14095719563221376,0.85
214.3,0.14098987622374134,0.85
214.32500000000002,0.14102244920031268,0.85
214.35000000000002,0.14105491484931756,0.85
214.375,0.14108727345782596,0.85
214.4,0.14111952531258498,0.85
214.425,0.1411516707000159,0.85
214.45000000000002,0.14118370990621126,0.85
214.47500000000002,0.1412156432169319,0.85
214.5,0.1412474709176041,0.85
214.525,0.14127919329331676,0.85
214.55,0.14131081062881856,0.85
214.57500000000002,0.14134232320851514,0.85
214.60000000000002,0.14137373131646627,0.85
214.625,0.14140503523638326,0.85
214.65,0.14143623525162607,0.85
214.675,0.14146733164520073,0.85
214.70000000000002,0.14149832469975665,0.85
214.72500000000002,0.141529214697584,0.85
214.75,0.14156000192061105,0.85
214.775,0.14159068665040161,0.85
214.8,0.1416212691681525,0.85
214.82500000000002,0.14165174975469103,0.85
214.85000000000002,0.14168212869047236,0.85
214.875,0.14171240625557724,0.85
214.9,0.1417425827297094,0.85
214.925,0.1417726583921932,0.85
214.95000000000002,0.14180263352197112,0.85
214.97500000000002,0.14183250839760156,0.85
215.0,0.14186228329725636,0.85
215.025,0.14189195849871852,0.85
215.05,0.14192153427937992,0.85
215.07500000000002,0.141951010916239,0.85
215.10000000000002,0.14198038868589852,0.85
215.125,0.1420096678645634,0.85
215.15,0.14203884872803846,0.85
215.175,0.14206793155172628,0.85
215.20000000000002,0.14209691661062504,0.85
215.22500000000002,0.14212580417932635,0.85
215.25,0.1421545945320133,0.85
215.275,0.14218328794245816,0.85
215.3,0.14221188468402055,0.85
215.32500000000002,0.14224038502964526,0.85
215.35000000000002,0.14226878925186032,0.85
215.375,0.14229709762277504,0.85
215.4,0.14232531041407795,0.85
215.425,0.142353427897035,0.85
215.45000000000002,0.1423814503424876,0.85
215.47500000000002,0.14240937802085063,0.85
215.5,0.1424372112021108,0.85
215.525,0.1424649501558246,0.85
215.55,0.14249259515111665,0.85
215.57500000000002,0.1425201464566777,0.85
215.60000000000002,0.14254760434076313,0.85
215.625,0.142574969071191,0.85
215.65,0.14260224091534035,0.85
215.675,0.14262942014014962,0.85
215.70000000000002,0.14265650701211482,0.85
215.72500000000002,0.14268350179728798,0.85
215.75,0.14271040476127542,0.85
